rank,source_image_id,current_label,suggested_label,suspicion_score
1,33007,T-shirt/top,Coat,1.000000
2,43671,Bag,Sneaker,1.000000
3,13802,Shirt,Sandal,1.000000
4,51897,Dress,Pullover,1.000000
5,51154,Dress,Shirt,1.000000
6,9105,T-shirt/top,Trouser,1.000000
7,4499,Sneaker,T-shirt/top,1.000000
8,55208,Coat,Ankle boot,1.000000
9,12733,Sneaker,Ankle boot,1.000000
10,37465,Ankle boot,Sandal,1.000000
11,4108,Pullover,Trouser,1.000000
12,34079,Coat,Pullover,1.000000
13,21726,Ankle boot,Trouser,1.000000
14,56457,Pullover,Ankle boot,1.000000
15,18922,Pullover,T-shirt/top,1.000000
16,29398,Ankle boot,Coat,1.000000
17,43379,Sandal,Ankle boot,1.000000
18,17834,Dress,T-shirt/top,1.000000
19,42917,Sneaker,Pullover,1.000000
20,43156,Dress,Pullover,1.000000
21,1448,Trouser,Coat,1.000000
22,44013,Bag,Ankle boot,1.000000
23,44417,Trouser,Sneaker,1.000000
24,4129,Trouser,T-shirt/top,1.000000
25,48929,Sandal,Pullover,1.000000
26,55922,Dress,Ankle boot,1.000000
27,10288,Pullover,Sneaker,1.000000
28,9629,Shirt,Bag,1.000000
29,36438,T-shirt/top,Dress,1.000000
30,33974,T-shirt/top,Coat,1.000000
31,18855,Sandal,Pullover,1.000000
32,6169,Pullover,Dress,1.000000
33,28006,Sneaker,Dress,1.000000
34,2743,Coat,T-shirt/top,1.000000
35,13285,Shirt,Bag,1.000000
36,56405,Trouser,Ankle boot,1.000000
37,14935,Sandal,Dress,1.000000
38,9039,Shirt,T-shirt/top,1.000000
39,24066,Bag,Sneaker,1.000000
40,47187,T-shirt/top,Coat,1.000000
41,9030,Sneaker,Ankle boot,1.000000
42,9334,Trouser,T-shirt/top,1.000000
43,33398,Sandal,Shirt,1.000000
44,10339,Ankle boot,Trouser,1.000000
45,7710,Pullover,Coat,1.000000
46,53050,Coat,Dress,1.000000
47,12396,Bag,Sneaker,1.000000
48,11854,Bag,Trouser,1.000000
49,50720,Shirt,T-shirt/top,1.000000
50,37917,Shirt,Coat,1.000000
51,44642,Bag,Sandal,1.000000
52,17288,Bag,Trouser,1.000000
53,45042,Ankle boot,Trouser,1.000000
54,20902,Sneaker,Bag,1.000000
55,37213,Bag,Sneaker,1.000000
56,48842,Coat,Shirt,1.000000
57,10222,Ankle boot,Bag,1.000000
58,10189,Sneaker,Ankle boot,1.000000
59,48985,Shirt,Coat,1.000000
60,13665,Pullover,Ankle boot,1.000000
61,15970,Sandal,Coat,1.000000
62,3312,Coat,Dress,1.000000
63,43655,Pullover,Trouser,1.000000
64,35977,Sandal,Bag,1.000000
65,28927,Pullover,Coat,1.000000
66,45708,Sandal,Ankle boot,1.000000
67,47034,Shirt,Sandal,1.000000
68,24588,Sandal,Pullover,1.000000
69,475,Trouser,Sandal,1.000000
70,15223,Sneaker,Coat,1.000000
71,22656,Coat,T-shirt/top,1.000000
72,30645,Dress,Coat,1.000000
73,2554,Ankle boot,Bag,1.000000
74,6444,Bag,Dress,1.000000
75,17043,Ankle boot,Bag,1.000000
76,37115,Bag,Pullover,1.000000
77,19904,Trouser,Pullover,1.000000
78,54937,T-shirt/top,Shirt,1.000000
79,29673,Trouser,Dress,1.000000
80,8280,Sneaker,Pullover,1.000000
81,8635,Pullover,Coat,1.000000
82,13026,Shirt,Dress,1.000000
83,3777,Trouser,T-shirt/top,1.000000
84,24644,Dress,T-shirt/top,1.000000
85,12493,Sandal,Shirt,1.000000
86,52833,Ankle boot,Bag,1.000000
87,52994,Shirt,T-shirt/top,1.000000
88,45094,Bag,Sneaker,1.000000
89,30024,T-shirt/top,Dress,1.000000
90,6881,Dress,Pullover,1.000000
91,42816,Ankle boot,Bag,1.000000
92,42486,Shirt,Ankle boot,1.000000
93,25139,Shirt,Sneaker,1.000000
94,38840,T-shirt/top,Sneaker,1.000000
95,25372,Sneaker,Ankle boot,1.000000
96,18075,T-shirt/top,Pullover,1.000000
97,7445,Ankle boot,Bag,1.000000
98,45987,Pullover,Trouser,1.000000
99,48391,Shirt,Bag,1.000000
100,11234,Sandal,T-shirt/top,1.000000
